Accession,locus_tag,combined_genome_count,number_of_clades_detected,representative_Accession,representative_coverage
VFG015437(gb|WP_011979133),PA0082,19,2,VFG020003(gb|WP_003104975),11521
VFG020005(gb|WP_003083666),PA0083,10802,2,VFG002069(gb|NP_248773),10802
VFG015443(gb|WP_003083666),PA0083,10801,2,VFG002069(gb|NP_248773),10802
VFG015442(gb|WP_011979134),PA0083,10798,2,VFG002069(gb|NP_248773),10802
VFG015447(gb|WP_003151425),PA0084,11550,2,VFG002070(gb|NP_248774),11550
VFG015448(gb|WP_003111626),PA0084,11550,2,VFG002070(gb|NP_248774),11550
VFG020007(gb|WP_003104973),PA0084,11550,2,VFG002070(gb|NP_248774),11550
VFG015449(gb|WP_011064256),PA0084,1,1,VFG002070(gb|NP_248774),11550
VFG015452(gb|WP_003151423),PA0085,10797,2,VFG002071(gb|NP_248775),10798
VFG020011(gb|WP_003119488),PA0086,10838,2,VFG002072(gb|NP_248776),10838
VFG015463(gb|WP_003119488),PA0086,10837,2,VFG002072(gb|NP_248776),10838
VFG015462(gb|WP_011979135),PA0086,14,1,VFG002072(gb|NP_248776),10838
VFG015467(gb|WP_003111625),PA0087,10800,2,VFG002073(gb|NP_248777),10800
VFG015466(gb|WP_003151421),PA0087,10795,2,VFG002073(gb|NP_248777),10800
VFG015473(gb|WP_011979136),PA0088,11565,2,VFG002074(gb|NP_248778),11565
VFG015474(gb|WP_003083676),PA0088,11565,2,VFG002074(gb|NP_248778),11565
VFG020014(gb|WP_003083676),PA0088,11565,2,VFG002074(gb|NP_248778),11565
VFG020016(gb|WP_003104969),PA0089,11564,2,VFG002075(gb|NP_248779),11564
VFG015483(gb|WP_003104969),PA0089,11563,2,VFG002075(gb|NP_248779),11564
VFG015482(gb|WP_011979137),PA0089,10908,2,VFG002075(gb|NP_248779),11564
VFG015491(gb|WP_011979138),PA0090,11565,2,VFG002076(gb|NP_248780),11565
VFG015492(gb|WP_003136970),PA0090,11565,2,VFG002076(gb|NP_248780),11565
VFG020018(gb|WP_012613439),PA0090,11565,2,VFG002076(gb|NP_248780),11565
VFG015498(gb|WP_012018669),PA0090,1,1,VFG002076(gb|NP_248780),11565
VFG020019(gb|WP_015886561),PA0090,1,1,VFG002076(gb|NP_248780),11565
VFG015501(gb|WP_011666527),PA0091,11512,2,VFG002077(gb|NP_248781),11512
VFG020020(gb|WP_003142374),PA0091,11512,2,VFG002077(gb|NP_248781),11512
VFG015500(gb|WP_079262221),PA0091,11508,2,VFG002077(gb|NP_248781),11512
VFG051834(gb|WP_003104959.1),PA0093,11196,2,VFG051485(gb|NP_248783.1),11197
VFG051804(gb|WP_011979145.1),PA0095,10218,2,VFG041011(gb|NP_248785),11422
VFG051593(gb|WP_012613476.1),PA0262,11485,2,VFG051487(gb|NP_248953.1),11485
VFG051596(gb|WP_003137141.1),PA0262,11485,2,VFG051487(gb|NP_248953.1),11485
VFG051594(gb|WP_012074520.1),PA0262,8284,2,VFG051487(gb|NP_248953.1),11485
VFG013898(gb|WP_003084552),PA0395,11574,2,VFG001223(gb|NP_249086),11574
VFG019744(gb|WP_003084552),PA0395,11574,2,VFG001223(gb|NP_249086),11574
VFG013897(gb|WP_003084552),PA0395,11125,2,VFG001223(gb|NP_249086),11574
VFG013907(gb|WP_004373763),PA0395,2,1,VFG001223(gb|NP_249086),11574
VFG013910(gb|WP_033999672),PA0396,11574,2,VFG001224(gb|NP_249087),11574
VFG013911(gb|WP_003110016),PA0396,11574,2,VFG001224(gb|NP_249087),11574
VFG014004(gb|WP_003148848),PA0408,10800,2,VFG001225(gb|NP_249099),10808
VFG014018(gb|WP_003084587),PA0409,10799,2,VFG001226(gb|NP_249100),10800
VFG014017(gb|WP_003084587),PA0409,10797,2,VFG001226(gb|NP_249100),10800
VFG019766(gb|WP_003084590),PA0410,10819,2,VFG001227(gb|NP_249101),10819
VFG014030(gb|WP_003148849),PA0410,10810,2,VFG001227(gb|NP_249101),10819
VFG014043(gb|WP_012074000),PA0411,11575,2,VFG001228(gb|NP_249102),11575
VFG014044(gb|WP_003084592),PA0411,11575,2,VFG001228(gb|NP_249102),11575
VFG019768(gb|WP_003100940),PA0411,11575,2,VFG001228(gb|NP_249102),11575
VFG001229(gb|NP_249103),PA0412,10860,2,VFG019770(gb|WP_003100938),10862
VFG014057(gb|WP_003084594),PA0412,10859,2,VFG019770(gb|WP_003100938),10862
VFG014056(gb|WP_003148852),PA0412,2663,2,VFG019770(gb|WP_003100938),10862
VFG014062(gb|WP_004365046),PA0413,11575,2,VFG001231(gb|NP_249104),11575
VFG019771(gb|WP_012613502),PA0413,11575,2,VFG001231(gb|NP_249104),11575
VFG014061(gb|WP_012074001),PA0413,135,2,VFG001231(gb|NP_249104),11575
VFG001232(gb|NP_249105),PA0414,11539,2,VFG019773(gb|WP_003084598),11549
VFG014075(gb|WP_004365048),PA0414,11524,2,VFG019773(gb|WP_003084598),11549
VFG014074(gb|WP_012074002),PA0414,2279,2,VFG019773(gb|WP_003084598),11549
VFG019774(gb|WP_012613503),PA0415,10814,2,VFG014080(gb|WP_003084602),10814
VFG001233(gb|NP_249106),PA0415,10813,2,VFG014080(gb|WP_003084602),10814
VFG014079(gb|WP_012074003),PA0415,327,2,VFG014080(gb|WP_003084602),10814
VFG014093(gb|WP_003128976),PA0416,10851,2,VFG001234(gb|NP_249107),10851
VFG019776(gb|WP_003117898),PA0416,10851,2,VFG001234(gb|NP_249107),10851
VFG014092(gb|WP_012074004),PA0416,7332,2,VFG001234(gb|NP_249107),10851
VFG001235(gb|NP_249108),PA0417,10833,2,VFG019778(gb|WP_003084610),10835
VFG014096(gb|WP_003084610),PA0417,10833,2,VFG019778(gb|WP_003084610),10835
VFG014095(gb|WP_012074005),PA0417,1,1,VFG019778(gb|WP_003084610),10835
VFG014908(gb|WP_003085543),PA0762,10834,2,VFG000121(gb|NP_249453),10834
VFG014907(gb|WP_003085543),PA0762,10825,2,VFG000121(gb|NP_249453),10834
VFG019911(gb|WP_003101958),PA0763,10835,2,VFG000134(gb|NP_249454),10835
VFG014921(gb|WP_003101958),PA0763,10832,2,VFG000134(gb|NP_249454),10835
VFG014920(gb|WP_003150208),PA0763,8509,2,VFG000134(gb|NP_249454),10835
VFG000135(gb|NP_249455),PA0764,10902,2,VFG019913(gb|WP_003085548),10903
VFG014934(gb|WP_003140937),PA0764,10899,2,VFG019913(gb|WP_003085548),10903
VFG014933(gb|WP_012077034),PA0764,1,1,VFG019913(gb|WP_003085548),10903
VFG014947(gb|WP_003140935),PA0765,10800,2,VFG000136(gb|NP_249456),10800
VFG019915(gb|WP_003110245),PA0765,10800,2,VFG000136(gb|NP_249456),10800
VFG014946(gb|WP_003150212),PA0765,3,1,VFG000136(gb|NP_249456),10800
VFG014952(gb|WP_003140933),PA0766,11577,2,VFG014950(gb|NP_249457),11577
VFG019916(gb|WP_009315254),PA0766,11577,2,VFG014950(gb|NP_249457),11577
VFG014951(gb|WP_012077033),PA0766,11576,2,VFG014950(gb|NP_249457),11577
VFG015851(gb|WP_003140852),PA0844,11578,2,VFG000157(gb|NP_249535),11578
VFG020044(gb|WP_012614438),PA0844,11578,2,VFG000157(gb|NP_249535),11578
VFG015850(gb|WP_012076980),PA0844,11508,2,VFG000157(gb|NP_249535),11578
VFG015069(gb|WP_003102426),PA0928,11574,2,VFG015067(gb|NP_249619),11574
VFG019941(gb|WP_003102426),PA0928,11574,2,VFG015067(gb|NP_249619),11574
VFG015068(gb|WP_003156446),PA0928,6,2,VFG015067(gb|NP_249619),11574
VFG014149(gb|WP_012076728),PA1077,10777,2,VFG014148(gb|NP_249768),10794
VFG014162(gb|WP_003082150),PA1078,10789,2,VFG001236(gb|NP_249769),10800
VFG001237(gb|NP_249770),PA1079,10705,2,VFG014176(gb|WP_003111390),10837
VFG019795(gb|WP_003082153),PA1079,10705,2,VFG014176(gb|WP_003111390),10837
VFG014175(gb|WP_003149706),PA1079,1502,2,VFG014176(gb|WP_003111390),10837
VFG014189(gb|WP_003086405),PA1080,11436,2,VFG001238(gb|NP_249771),11436
VFG019797(gb|WP_003082154),PA1080,11436,2,VFG001238(gb|NP_249771),11436
VFG014188(gb|WP_012076727),PA1080,6,2,VFG001238(gb|NP_249771),11436
VFG014202(gb|WP_003082159),PA1081,10843,2,VFG001239(gb|NP_249772),10845
VFG014201(gb|WP_012076726),PA1081,10818,2,VFG001239(gb|NP_249772),10845
VFG014215(gb|WP_003082164),PA1082,10848,2,VFG001240(gb|NP_249773),10848
VFG014214(gb|WP_003082164),PA1082,10842,2,VFG001240(gb|NP_249773),10848
VFG001241(gb|NP_249774),PA1083,10836,2,VFG019803(gb|WP_003082166),10837
VFG014228(gb|WP_003086407),PA1083,10836,2,VFG019803(gb|WP_003082166),10837
VFG014227(gb|WP_012076725),PA1083,10835,2,VFG019803(gb|WP_003082166),10837
VFG014241(gb|WP_003082169),PA1084,11576,2,VFG001242(gb|NP_249775),11576
VFG019805(gb|WP_003082169),PA1084,11576,2,VFG001242(gb|NP_249775),11576
VFG014240(gb|WP_003082169),PA1084,11460,2,VFG001242(gb|NP_249775),11576
VFG014254(gb|WP_003116316),PA1085,11577,2,VFG001243(gb|NP_249776),11577
VFG019807(gb|WP_003116316),PA1085,11577,2,VFG001243(gb|NP_249776),11577
VFG014253(gb|WP_012076724),PA1085,1151,2,VFG001243(gb|NP_249776),11577
VFG014267(gb|WP_003140599),PA1086,4015,2,VFG001244(gb|NP_249777),4015
VFG019809(gb|WP_003112507),PA1086,4015,2,VFG001244(gb|NP_249777),4015
VFG019811(gb|WP_003112506),PA1087,4011,2,VFG001245(gb|NP_249778),4011
VFG014280(gb|WP_003111492),PA1087,4010,2,VFG001245(gb|NP_249778),4011
VFG014293(gb|WP_003082185),PA1092,4054,2,VFG001246(gb|NP_249783),4054
VFG014306(gb|WP_003082188),PA1093,3763,2,VFG014304(gb|NP_249784),3763
VFG019815(gb|WP_003082188),PA1093,3763,2,VFG014304(gb|NP_249784),3763
VFG014319(gb|WP_003140595),PA1094,4049,2,VFG001247(gb|NP_249785),4049
VFG019817(gb|WP_003082190),PA1094,4049,2,VFG001247(gb|NP_249785),4049
VFG019819(gb|WP_003082192),PA1095,3762,2,VFG014332(gb|WP_003082192),3762
VFG014330(gb|NP_249786),PA1095,3761,2,VFG014332(gb|WP_003082192),3762
VFG014345(gb|WP_003082194),PA1096,10342,2,VFG014343(gb|NP_249787),10343
VFG014358(gb|WP_003086448),PA1097,11575,2,VFG001248(gb|NP_249788),11575
VFG019823(gb|WP_003086448),PA1097,11575,2,VFG001248(gb|NP_249788),11575
VFG014365(gb|WP_011059970),PA1097,31,1,VFG001248(gb|NP_249788),11575
VFG014357(gb|WP_003152329),PA1097,13,2,VFG001248(gb|NP_249788),11575
VFG014364(gb|WP_011534913),PA1097,1,1,VFG001248(gb|NP_249788),11575
VFG014366(gb|WP_003222863),PA1097,1,1,VFG001248(gb|NP_249788),11575
VFG014367(gb|WP_012019027),PA1097,1,1,VFG001248(gb|NP_249788),11575
VFG015677(gb|WP_012315528),PA1097,1,1,VFG001248(gb|NP_249788),11575
VFG014371(gb|WP_003109120),PA1098,11575,2,VFG014369(gb|NP_249789),11575
VFG019825(gb|WP_012614401),PA1098,11575,2,VFG014369(gb|NP_249789),11575
VFG014384(gb|WP_003082202),PA1099,11575,2,VFG001249(gb|NP_249790),11575
VFG019827(gb|WP_003082202),PA1099,11575,2,VFG001249(gb|NP_249790),11575
VFG019829(gb|WP_003086454),PA1100,10743,2,VFG014397(gb|WP_003140591),10747
VFG001250(gb|NP_249791),PA1100,10740,2,VFG014397(gb|WP_003140591),10747
VFG014396(gb|WP_003158014),PA1100,10695,2,VFG014397(gb|WP_003140591),10747
VFG014410(gb|WP_003109118),PA1101,11578,2,VFG001251(gb|NP_249792),11578
VFG019831(gb|WP_012614400),PA1101,11578,2,VFG001251(gb|NP_249792),11578
VFG014409(gb|WP_012076711),PA1101,11577,2,VFG001251(gb|NP_249792),11578
VFG014419(gb|WP_012019024),PA1101,1,1,VFG001251(gb|NP_249792),11578
VFG014423(gb|WP_003082212),PA1102,11544,2,VFG001252(gb|NP_249793),11551
VFG019833(gb|WP_003082212),PA1102,11535,2,VFG001252(gb|NP_249793),11551
VFG014422(gb|WP_012076710),PA1102,8909,2,VFG001252(gb|NP_249793),11551
VFG014436(gb|WP_003140589),PA1103,10851,2,VFG001253(gb|NP_249794),10851
VFG019835(gb|WP_003449045),PA1103,10850,2,VFG001253(gb|NP_249794),10851
VFG014449(gb|WP_003086458),PA1104,11578,2,VFG001254(gb|NP_249795),11578
VFG019837(gb|WP_003086458),PA1104,11578,2,VFG001254(gb|NP_249795),11578
VFG014452(gb|WP_004664459),PA1104,31,1,VFG001254(gb|NP_249795),11578
VFG001255(gb|NP_249796),PA1105,10802,2,VFG014462(gb|WP_003082220),10803
VFG014461(gb|WP_003158011),PA1105,6040,2,VFG014462(gb|WP_003082220),10803
VFG015045(gb|NP_249821),PA1130,10875,2,VFG019933(gb|WP_003082283),10930
VFG015046(gb|WP_003140566),PA1130,10874,2,VFG019933(gb|WP_003082283),10930
VFG020047(gb|WP_012614391),PA1148,11354,2,VFG015862(gb|WP_003140553),11354
VFG020041(gb|WP_003159842),PA1249,11566,2,VFG015561(gb|WP_003086731),11566
VFG015560(gb|WP_012076619),PA1249,7,2,VFG015561(gb|WP_003086731),11566
VFG015054(gb|WP_012076422),PA1430,40,2,VFG015055(gb|WP_003082999),10679
VFG015057(gb|WP_003151020),PA1432,16,1,VFG015058(gb|WP_003083017),10684
VFG014475(gb|WP_003140280),PA1441,11569,2,VFG019841(gb|WP_003083038),11570
VFG014474(gb|WP_012076415),PA1441,1,1,VFG019841(gb|WP_003083038),11570
VFG014487(gb|WP_003156948),PA1442,10771,2,VFG014488(gb|WP_003083042),10818
VFG014500(gb|WP_012076412),PA1443,10865,2,VFG014501(gb|WP_003083045),11040
VFG014510(gb|WP_003243207),PA1443,1,1,VFG014501(gb|WP_003083045),11040
VFG014511(gb|WP_013983226),PA1443,1,1,VFG014501(gb|WP_003083045),11040
VFG014514(gb|WP_003083049),PA1444,10802,2,VFG019847(gb|WP_003083049),10804
VFG014513(gb|WP_012076411),PA1444,10762,2,VFG019847(gb|WP_003083049),10804
VFG014526(gb|WP_012076410),PA1445,2,2,VFG014527(gb|WP_003083051),10800
VFG019851(gb|WP_003083052),PA1446,10844,2,VFG014540(gb|WP_003083052),10845
VFG014539(gb|WP_003155632),PA1446,10783,2,VFG014540(gb|WP_003083052),10845
VFG014548(gb|WP_011333059),PA1446,2,1,VFG014540(gb|WP_003083052),10845
VFG014552(gb|WP_003155633),PA1447,35,2,VFG014553(gb|WP_003083053),10580
VFG019855(gb|WP_003083054),PA1448,10788,2,VFG014566(gb|WP_003083054),10788
VFG014565(gb|WP_012076409),PA1448,8418,2,VFG014566(gb|WP_003083054),10788
VFG014578(gb|WP_003155636),PA1449,6337,2,VFG014579(gb|WP_003083056),11571
VFG014592(gb|WP_003083059),PA1452,11574,2,VFG014591(gb|WP_003155638),11574
VFG019859(gb|WP_003083059),PA1452,11574,2,VFG014591(gb|WP_003155638),11574
VFG014598(gb|WP_011534892),PA1452,1,1,VFG014591(gb|WP_003155638),11574
VFG014601(gb|WP_012019015),PA1452,1,1,VFG014591(gb|WP_003155638),11574
VFG015712(gb|WP_012273494),PA1452,1,1,VFG014591(gb|WP_003155638),11574
VFG019861(gb|WP_003083061),PA1453,11562,2,VFG014605(gb|WP_003087102),11562
VFG014604(gb|WP_012076406),PA1453,4,2,VFG014605(gb|WP_003087102),11562
VFG014617(gb|WP_003083064),PA1454,10829,2,VFG014618(gb|WP_003083064),10837
VFG014622(gb|WP_003254408),PA1454,1,1,VFG014618(gb|WP_003083064),10837
VFG014623(gb|WP_003254408),PA1454,1,1,VFG014618(gb|WP_003083064),10837
VFG014624(gb|WP_011534890),PA1454,1,1,VFG014618(gb|WP_003083064),10837
VFG015717(gb|WP_011534890),PA1454,1,1,VFG014618(gb|WP_003083064),10837
VFG014631(gb|WP_003083070),PA1455,10828,2,VFG019865(gb|WP_003083070),10829
VFG014630(gb|WP_003083070),PA1455,10822,2,VFG019865(gb|WP_003083070),10829
VFG014709(gb|WP_003083089),PA1460,10828,2,VFG019877(gb|WP_003159935),10830
VFG014708(gb|WP_003153718),PA1460,209,2,VFG019877(gb|WP_003159935),10830
VFG014722(gb|WP_003083090),PA1461,10860,2,VFG019879(gb|WP_012614339),10864
VFG014721(gb|WP_003153720),PA1461,1,1,VFG019879(gb|WP_012614339),10864
VFG051489(gb|WP_003083217.1),PA1511,11484,2,VFG051491(gb|WP_011666716.1),11485
VFG051507(gb|WP_003140090.1),PA1656,11564,2,VFG051504(gb|WP_003097814.1),11564
VFG051514(gb|WP_003087592.1),PA1657,10803,2,VFG051511(gb|WP_003097811.1),10807
VFG051522(gb|WP_003087596.1),PA1658,11560,2,VFG051519(gb|WP_003087596.1),11560
VFG051530(gb|WP_003140089.1),PA1659,10675,2,VFG051527(gb|WP_003120359.1),10675
VFG051538(gb|WP_003087605.1),PA1660,11563,2,VFG051535(gb|WP_010794013.1),11563
VFG051539(gb|WP_011531908.1),PA1660,166,1,VFG051535(gb|WP_010794013.1),11563
VFG051546(gb|WP_003140086.1),PA1661,11103,2,VFG051543(gb|WP_003097804.1),11434
VFG051554(gb|WP_003140083.1),PA1662,11560,2,VFG051551(gb|WP_012614304.1),11560
VFG051552(gb|WP_079262185.1),PA1662,23,2,VFG051551(gb|WP_012614304.1),11560
VFG051560(gb|WP_012076238.1),PA1666,10799,2,VFG051562(gb|WP_003110438.1),10802
VFG051568(gb|WP_012076237.1),PA1667,11564,2,VFG051567(gb|WP_003097790.1),11564
VFG051570(gb|WP_003087620.1),PA1667,11564,2,VFG051567(gb|WP_003097790.1),11564
VFG051578(gb|WP_003120354.1),PA1668,10846,2,VFG051575(gb|WP_003087622.1),10850
VFG051576(gb|WP_003087622.1),PA1668,10842,2,VFG051575(gb|WP_003087622.1),10850
VFG051584(gb|WP_012076236.1),PA1669,11564,2,VFG051583(gb|WP_012614302.1),11564
VFG051586(gb|WP_003140078.1),PA1669,11564,2,VFG051583(gb|WP_012614302.1),11564
VFG015094(gb|WP_003087668),PA1690,11513,2,VFG019945(gb|WP_003103203),11542
VFG019946(gb|WP_003103206),PA1691,10819,2,VFG015096(gb|WP_003132884),10819
VFG019948(gb|WP_012614298),PA1693,10803,2,VFG015100(gb|WP_003087674),10803
VFG015102(gb|WP_003140061),PA1694,10848,2,VFG019949(gb|WP_012614297),10857
VFG015106(gb|WP_003140046),PA1696,10762,2,VFG019950(gb|WP_003109497),10764
VFG015108(gb|WP_003100796),PA1697,11537,2,VFG000192(gb|NP_250388),11537
VFG019951(gb|WP_012614296),PA1697,11537,2,VFG000192(gb|NP_250388),11537
VFG000193(gb|NP_250389),PA1698,10823,2,VFG019952(gb|WP_003087692),10825
VFG015110(gb|WP_003087692),PA1698,10822,2,VFG019952(gb|WP_003087692),10825
VFG015114(gb|WP_003087694),PA1700,10744,2,VFG019954(gb|WP_003087694),10745
VFG000195(gb|NP_250391),PA1700,10742,2,VFG019954(gb|WP_003087694),10745
VFG015116(gb|WP_003140044),PA1701,10738,2,VFG000196(gb|NP_250392),10743
VFG015118(gb|WP_003113547),PA1702,10712,2,VFG000197(gb|NP_250393),10713
VFG019956(gb|WP_003087695),PA1702,10712,2,VFG000197(gb|NP_250393),10713
VFG015120(gb|WP_003087696),PA1703,11535,2,VFG000198(gb|NP_250394),11535
VFG019957(gb|WP_003087696),PA1703,11535,2,VFG000198(gb|NP_250394),11535
VFG015122(gb|WP_003100791),PA1704,10761,2,VFG000199(gb|NP_250395),10762
VFG015124(gb|WP_003109501),PA1705,10628,2,VFG000200(gb|NP_250396),10630
VFG015126(gb|WP_003109502),PA1706,10827,2,VFG000201(gb|NP_250397),10832
VFG000202(gb|NP_250398),PA1707,10780,2,VFG015128(gb|WP_003087708),10782
VFG015130(gb|WP_003087710),PA1708,11534,2,VFG000203(gb|NP_250399),11534
VFG019961(gb|WP_004342870),PA1708,11534,2,VFG000203(gb|NP_250399),11534
VFG019962(gb|WP_003113550),PA1709,10813,2,VFG000204(gb|NP_250400),10813
VFG015132(gb|WP_003109504),PA1709,10806,2,VFG000204(gb|NP_250400),10813
VFG000205(gb|NP_250401),PA1710,10745,2,VFG019963(gb|WP_003100769),10746
VFG015134(gb|WP_003109505),PA1710,10745,2,VFG019963(gb|WP_003100769),10746
VFG015136(gb|WP_003109506),PA1711,10530,2,VFG000206(gb|NP_250402),10536
VFG000207(gb|NP_250403),PA1712,10738,2,VFG019964(gb|WP_003100765),10740
VFG015138(gb|WP_003117721),PA1712,10733,2,VFG019964(gb|WP_003100765),10740
VFG019965(gb|WP_003120334),PA1713,10800,2,VFG000208(gb|NP_250404),10800
VFG015140(gb|WP_003120334),PA1713,10798,2,VFG000208(gb|NP_250404),10800
VFG019966(gb|WP_003100755),PA1714,10799,2,VFG000209(gb|NP_250405),10800
VFG015142(gb|WP_003109509),PA1714,10797,2,VFG000209(gb|NP_250405),10800
VFG000210(gb|NP_250406),PA1715,10742,2,VFG015144(gb|WP_003109510),10743
VFG019967(gb|WP_003120332),PA1715,10741,2,VFG015144(gb|WP_003109510),10743
VFG015146(gb|WP_003140040),PA1716,11521,2,VFG000211(gb|NP_250407),11521
VFG019968(gb|WP_012614295),PA1716,11521,2,VFG000211(gb|NP_250407),11521
VFG015148(gb|WP_003132859),PA1717,11522,2,VFG000212(gb|NP_250408),11522
VFG019969(gb|WP_012614294),PA1717,11522,2,VFG000212(gb|NP_250408),11522
VFG000213(gb|NP_250409),PA1718,10526,2,VFG019970(gb|WP_003100751),10527
VFG015150(gb|WP_003100751),PA1718,10526,2,VFG019970(gb|WP_003100751),10527
VFG015152(gb|WP_003087729),PA1719,10577,2,VFG000214(gb|NP_250410),10577
VFG015154(gb|WP_003140037),PA1720,10721,2,VFG000215(gb|NP_250411),10723
VFG000216(gb|NP_250412),PA1721,10750,2,VFG019973(gb|WP_003122856),10751
VFG000217(gb|NP_250413),PA1722,10720,2,VFG015158(gb|WP_003120330),10723
VFG019975(gb|WP_004342903),PA1723,10795,2,VFG000218(gb|NP_250414),10795
VFG015160(gb|WP_003120329),PA1723,10794,2,VFG000218(gb|NP_250414),10795
VFG015162(gb|WP_003087734),PA1724,10780,2,VFG019976(gb|WP_003087734),10782
VFG000219(gb|NP_250415),PA1724,10778,2,VFG019976(gb|WP_003087734),10782
VFG000220(gb|NP_250416),PA1725,10783,2,VFG015164(gb|WP_003087735),10784
VFG051810(gb|WP_003088027.1),PA1844,10804,2,VFG041030(gb|NP_250535),10806
VFG051811(gb|WP_003154271.1),PA1844,4,2,VFG041030(gb|NP_250535),10806
VFG015555(gb|WP_003139897),PA1871,11572,2,VFG000145(gb|NP_250562),11572
VFG020039(gb|WP_003120216),PA1871,11571,2,VFG000145(gb|NP_250562),11572
VFG015554(gb|WP_012076121),PA1871,1,1,VFG000145(gb|NP_250562),11572
VFG015524(gb|NP_250590),PA1899,10830,2,VFG020029(gb|WP_012614267),10831
VFG015526(gb|WP_009877875),PA1899,10828,2,VFG020029(gb|WP_012614267),10831
VFG015525(gb|WP_003154207),PA1899,9611,2,VFG020029(gb|WP_012614267),10831
VFG015529(gb|WP_003115119),PA1900,9864,2,VFG015527(gb|NP_250591),9864
VFG015528(gb|WP_012076100),PA1900,9389,2,VFG015527(gb|NP_250591),9864
VFG015542(gb|NP_252905),PA1905,9718,2,VFG015523(gb|WP_003112073),9718
VFG015544(gb|WP_093945134),PA1905,9718,2,VFG015523(gb|WP_003112073),9718
VFG020028(gb|WP_003112073),PA1905,9718,2,VFG015523(gb|WP_003112073),9718
VFG015522(gb|WP_012074245),PA1905,9215,2,VFG015523(gb|WP_003112073),9718
VFG000150(gb|NP_250881),PA2191,10877,2,VFG015170(gb|WP_011666674),10908
