Accession,locus_tag,combined_genome_count,number_of_clades_detected,n_vfg_for_locus
VFG037853(gb|YP_001083146),A1S_0049,1,1,1
VFG035834(gb|NP_310087),ECs_2060,1,1,1
VFG034755(gb|NP_310454),ECs_2427,1,1,1
VFG042096(gb|NP_311735),ECs_3708,2,1,1
VFG042091(gb|NP_311742),ECs_3715,1,1,1
VFG042090(gb|NP_311745),ECs_3718,1,1,1
VFG042087(gb|NP_311746),ECs_3719,1,1,1
VFG042084(gb|NP_311752),ECs_3725,1,1,1
VFG042083(gb|NP_311753),ECs_3726,1,1,1
VFG012300(gb|NP_313303),ECs_5276,2,2,1
VFG029266(gb|YP_007962812),J113_20515,3,1,1
VFG028520(gb|YP_007963809),J113_27180,1,1,1
VFG048504(gb|YP_005225738),KPHS_14380,1,1,1
VFG048494(gb|YP_005225740),KPHS_14400,1,1,1
VFG048484(gb|YP_005225741),KPHS_14410,1,1,1
VFG048474(gb|YP_005225742),KPHS_14420,1,1,1
VFG048455(gb|YP_005225744),KPHS_14440,1,1,1
VFG048415(gb|YP_005225748),KPHS_14480,1,1,1
VFG048615(gb|YP_005226287),KPHS_19870,2,2,1
VFG048543(gb|YP_005226444),KPHS_21440,1,1,1
VFG048661(gb|YP_005226600),KPHS_23000,1,1,1
VFG048683(gb|YP_005226602),KPHS_23020,1,1,1
VFG048693(gb|YP_005226603),KPHS_23030,1,1,1
VFG048736(gb|YP_005226611),KPHS_23110,10552,2,1
VFG049315(gb|YP_005227544),KPHS_32440,1,1,1
VFG048567(gb|YP_005227763),KPHS_34630,1,1,1
VFG048579(gb|YP_005227766),KPHS_34660,1,1,1
VFG048598(gb|YP_005227771),KPHS_34710,2,1,1
VFG049025(gb|YP_005227844),KPHS_35440,1,1,1
VFG048793(gb|YP_005227854),KPHS_35540,1,1,1
VFG048988(gb|YP_005227873),KPHS_35730,1,1,1
VFG048991(gb|YP_005227874),KPHS_35740,1,1,1
VFG049193(gb|YP_005228284),KPHS_39850,2,1,1
VFG048375(gb|YP_005228645),KPHS_43450,16,1,1
VFG048293(gb|YP_005228660),KPHS_43600,2,1,1
VFG048303(gb|YP_005228661),KPHS_43610,1,1,1
VFG048313(gb|YP_005228662),KPHS_43620,1,1,1
VFG022919(gb|YP_001701702),MAB_0956c,1609,2,1
VFG008870(gb|YP_005361486),MRGA327_18005,1,1,1
VFG015599(gb|NP_064725),PA0005,10855,2,4
VFG015856(gb|NP_248716),PA0026,11062,2,4
VFG000148(gb|NP_248734),PA0044,11530,2,3
VFG015551(gb|NP_248741),PA0051,11490,2,3
VFG041010(gb|NP_248760),PA0070,10853,2,1
VFG002057(gb|NP_248761),PA0071,11543,2,4
VFG002058(gb|NP_248762),PA0072,11541,2,4
VFG019985(gb|WP_003114657),PA0073,10821,2,4
VFG002060(gb|NP_248764),PA0074,11548,2,4
VFG002061(gb|NP_248765),PA0075,10829,2,4
VFG015399(gb|WP_003083642),PA0076,10827,2,4
VFG002063(gb|NP_248767),PA0077,11550,2,4
VFG002064(gb|NP_248768),PA0078,11550,2,4
VFG002065(gb|NP_248769),PA0079,11546,2,4
VFG002066(gb|NP_248770),PA0080,10797,2,3
VFG002067(gb|NP_248771),PA0081,11097,2,3
VFG020003(gb|WP_003104975),PA0082,11521,2,4
VFG002069(gb|NP_248773),PA0083,10802,2,4
VFG002070(gb|NP_248774),PA0084,11550,2,5
VFG002071(gb|NP_248775),PA0085,10798,2,2
VFG002072(gb|NP_248776),PA0086,10838,2,4
VFG002073(gb|NP_248777),PA0087,10800,2,3
VFG002074(gb|NP_248778),PA0088,11565,2,4
VFG002075(gb|NP_248779),PA0089,11564,2,4
VFG002076(gb|NP_248780),PA0090,11565,2,6
VFG002077(gb|NP_248781),PA0091,11512,2,4
VFG051485(gb|NP_248783.1),PA0093,11197,2,2
VFG041011(gb|NP_248785),PA0095,11422,2,2
VFG050294(gb|NP_248789),PA0099,5899,2,1
VFG051487(gb|NP_248953.1),PA0262,11485,2,4
VFG001223(gb|NP_249086),PA0395,11574,2,5
VFG001224(gb|NP_249087),PA0396,11574,2,3
VFG001225(gb|NP_249099),PA0408,10808,2,2
VFG001226(gb|NP_249100),PA0409,10800,2,3
VFG001227(gb|NP_249101),PA0410,10819,2,3
VFG001228(gb|NP_249102),PA0411,11575,2,4
VFG019770(gb|WP_003100938),PA0412,10862,2,4
VFG001231(gb|NP_249104),PA0413,11575,2,4
VFG019773(gb|WP_003084598),PA0414,11549,2,4
VFG014080(gb|WP_003084602),PA0415,10814,2,4
VFG001234(gb|NP_249107),PA0416,10851,2,4
VFG019778(gb|WP_003084610),PA0417,10835,2,4
VFG042734(gb|NP_249343),PA0652,10845,2,1
VFG040869(gb|NP_249368),PA0677,10771,2,1
VFG040870(gb|NP_249369),PA0678,10743,2,1
VFG040871(gb|NP_249370),PA0679,10728,2,1
VFG040872(gb|NP_249371),PA0680,10708,2,1
VFG040873(gb|NP_249372),PA0681,10761,2,1
VFG040874(gb|NP_249373),PA0682,10815,2,1
VFG040875(gb|NP_249374),PA0683,11482,2,1
VFG040876(gb|NP_249375),PA0684,10754,2,1
VFG040877(gb|NP_249376),PA0685,11516,2,1
VFG040878(gb|NP_249377),PA0686,11512,2,1
VFG040879(gb|NP_249378),PA0687,11511,2,1
VFG000121(gb|NP_249453),PA0762,10834,2,3
VFG000134(gb|NP_249454),PA0763,10835,2,4
VFG019913(gb|WP_003085548),PA0764,10903,2,4
VFG000136(gb|NP_249456),PA0765,10800,2,4
VFG014950(gb|NP_249457),PA0766,11577,2,4
VFG000157(gb|NP_249535),PA0844,11578,2,4
VFG015067(gb|NP_249619),PA0928,11574,2,4
VFG042704(gb|NP_249683),PA0992,3395,2,1
VFG042705(gb|NP_249684),PA0993,10305,2,1
VFG042706(gb|NP_249685),PA0994,11310,2,1
VFG014148(gb|NP_249768),PA1077,10794,2,2
VFG001236(gb|NP_249769),PA1078,10800,2,2
VFG014176(gb|WP_003111390),PA1079,10837,2,4
VFG001238(gb|NP_249771),PA1080,11436,2,4
VFG001239(gb|NP_249772),PA1081,10845,2,3
VFG001240(gb|NP_249773),PA1082,10848,2,3
VFG019803(gb|WP_003082166),PA1083,10837,2,4
VFG001242(gb|NP_249775),PA1084,11576,2,4
VFG001243(gb|NP_249776),PA1085,11577,2,4
VFG001244(gb|NP_249777),PA1086,4015,2,3
VFG001245(gb|NP_249778),PA1087,4011,2,3
VFG001246(gb|NP_249783),PA1092,4054,2,2
VFG014304(gb|NP_249784),PA1093,3763,2,3
VFG001247(gb|NP_249785),PA1094,4049,2,3
VFG014332(gb|WP_003082192),PA1095,3762,2,3
VFG014343(gb|NP_249787),PA1096,10343,2,2
VFG001248(gb|NP_249788),PA1097,11575,2,9
VFG014369(gb|NP_249789),PA1098,11575,2,3
VFG001249(gb|NP_249790),PA1099,11575,2,3
VFG014397(gb|WP_003140591),PA1100,10747,2,4
VFG001251(gb|NP_249792),PA1101,11578,2,5
VFG001252(gb|NP_249793),PA1102,11551,2,4
VFG001253(gb|NP_249794),PA1103,10851,2,3
VFG001254(gb|NP_249795),PA1104,11578,2,4
VFG014462(gb|WP_003082220),PA1105,10803,2,3
VFG019933(gb|WP_003082283),PA1130,10930,2,3
VFG015862(gb|WP_003140553),PA1148,11354,2,2
VFG015561(gb|WP_003086731),PA1249,11566,2,3
VFG015055(gb|WP_003082999),PA1430,10679,2,2
VFG015058(gb|WP_003083017),PA1432,10684,2,2
VFG019841(gb|WP_003083038),PA1441,11570,2,3
VFG014488(gb|WP_003083042),PA1442,10818,2,2
VFG014501(gb|WP_003083045),PA1443,11040,2,4
VFG019847(gb|WP_003083049),PA1444,10804,2,3
VFG014527(gb|WP_003083051),PA1445,10800,2,2
VFG014540(gb|WP_003083052),PA1446,10845,2,4
VFG014553(gb|WP_003083053),PA1447,10580,2,2
VFG014566(gb|WP_003083054),PA1448,10788,2,3
VFG014579(gb|WP_003083056),PA1449,11571,2,2
VFG014591(gb|WP_003155638),PA1452,11574,2,6
VFG014605(gb|WP_003087102),PA1453,11562,2,3
VFG014618(gb|WP_003083064),PA1454,10837,2,6
VFG019865(gb|WP_003083070),PA1455,10829,2,3
VFG019877(gb|WP_003159935),PA1460,10830,2,3
VFG019879(gb|WP_012614339),PA1461,10864,2,3
VFG051491(gb|WP_011666716.1),PA1511,11485,2,2
VFG051504(gb|WP_003097814.1),PA1656,11564,2,2
VFG051511(gb|WP_003097811.1),PA1657,10807,2,2
VFG051519(gb|WP_003087596.1),PA1658,11560,2,2
VFG051527(gb|WP_003120359.1),PA1659,10675,2,2
VFG051535(gb|WP_010794013.1),PA1660,11563,2,3
VFG051543(gb|WP_003097804.1),PA1661,11434,2,2
VFG051551(gb|WP_012614304.1),PA1662,11560,2,3
VFG051562(gb|WP_003110438.1),PA1666,10802,2,2
VFG051567(gb|WP_003097790.1),PA1667,11564,2,3
VFG051575(gb|WP_003087622.1),PA1668,10850,2,3
VFG051583(gb|WP_012614302.1),PA1669,11564,2,3
VFG019945(gb|WP_003103203),PA1690,11542,2,2
VFG015096(gb|WP_003132884),PA1691,10819,2,2
VFG019947(gb|WP_003087672),PA1692,10606,2,1
VFG015100(gb|WP_003087674),PA1693,10803,2,2
VFG019949(gb|WP_012614297),PA1694,10857,2,2
VFG015104(gb|WP_011666708),PA1695,10346,2,1
VFG019950(gb|WP_003109497),PA1696,10764,2,2
VFG000192(gb|NP_250388),PA1697,11537,2,3
VFG019952(gb|WP_003087692),PA1698,10825,2,3
VFG000194(gb|NP_250390),PA1699,10616,2,1
VFG019954(gb|WP_003087694),PA1700,10745,2,3
VFG000196(gb|NP_250392),PA1701,10743,2,2
VFG000197(gb|NP_250393),PA1702,10713,2,3
VFG000198(gb|NP_250394),PA1703,11535,2,3
VFG000199(gb|NP_250395),PA1704,10762,2,2
VFG000200(gb|NP_250396),PA1705,10630,2,2
VFG000201(gb|NP_250397),PA1706,10832,2,2
VFG015128(gb|WP_003087708),PA1707,10782,2,2
VFG000203(gb|NP_250399),PA1708,11534,2,3
VFG000204(gb|NP_250400),PA1709,10813,2,3
VFG019963(gb|WP_003100769),PA1710,10746,2,3
VFG000206(gb|NP_250402),PA1711,10536,2,2
VFG019964(gb|WP_003100765),PA1712,10740,2,3
VFG000208(gb|NP_250404),PA1713,10800,2,3
VFG000209(gb|NP_250405),PA1714,10800,2,3
VFG015144(gb|WP_003109510),PA1715,10743,2,3
VFG000211(gb|NP_250407),PA1716,11521,2,3
VFG000212(gb|NP_250408),PA1717,11522,2,3
VFG019970(gb|WP_003100751),PA1718,10527,2,3
VFG000214(gb|NP_250410),PA1719,10577,2,2
VFG000215(gb|NP_250411),PA1720,10723,2,2
VFG019973(gb|WP_003122856),PA1721,10751,2,2
VFG015158(gb|WP_003120330),PA1722,10723,2,2
VFG000218(gb|NP_250414),PA1723,10795,2,3
VFG019976(gb|WP_003087734),PA1724,10782,2,3
VFG015164(gb|WP_003087735),PA1725,10784,2,2
VFG042735(gb|NP_250513),PA1822,11574,2,1
VFG041030(gb|NP_250535),PA1844,10806,2,3
VFG000145(gb|NP_250562),PA1871,11572,2,4
VFG020029(gb|WP_012614267),PA1899,10831,2,4
VFG015527(gb|NP_250591),PA1900,9864,2,3
VFG015530(gb|NP_250592),PA1901,10857,2,1
VFG015523(gb|WP_003112073),PA1905,9718,2,5
VFG050300(gb|NP_250641),PA1951,11567,2,1
VFG050299(gb|NP_250642),PA1952,10831,2,1
VFG050298(gb|NP_250643),PA1953,10824,2,1
VFG050297(gb|NP_250644),PA1954,11529,2,1
VFG050296(gb|NP_250645),PA1955,10811,2,1
VFG050295(gb|NP_250646),PA1956,10768,2,1
VFG042693(gb|NP_250818),PA2128,10718,2,1
VFG042694(gb|NP_250819),PA2129,10747,2,1
VFG042695(gb|NP_250820),PA2130,11472,2,1
VFG042696(gb|NP_250821),PA2131,11282,2,1
VFG042697(gb|NP_250822),PA2132,10746,2,1
VFG015170(gb|WP_011666674),PA2191,10908,2,3
VFG015914(gb|NP_250883),PA2193,10545,2,3
VFG015920(gb|NP_250884),PA2194,11332,2,4
VFG015926(gb|NP_250885),PA2195,11330,2,3
VFG044079(gb|NP_250944),PA2254,10562,2,1
VFG044080(gb|NP_250945),PA2255,10391,2,1
VFG044081(gb|NP_250946),PA2256,11140,2,1
VFG044082(gb|NP_250947),PA2257,10409,2,1
VFG044083(gb|NP_250948),PA2258,10467,2,1
VFG041031(gb|NP_251049),PA2359,11496,2,1
VFG041032(gb|NP_251050),PA2360,11490,2,4
VFG041033(gb|NP_251051),PA2361,11503,2,4
VFG051614(gb|WP_003131567.1),PA2362,10770,2,4
VFG041035(gb|NP_251053),PA2363,11499,2,4
VFG041036(gb|NP_251054),PA2364,10731,2,1
VFG041037(gb|NP_251055),PA2365,10741,2,1
VFG041038(gb|NP_251056),PA2366,11501,2,4
VFG041039(gb|NP_251057),PA2367,10732,2,4
VFG051636(gb|WP_012614150.1),PA2368,10729,2,4
VFG041041(gb|NP_251059),PA2369,11486,2,4
VFG041042(gb|NP_251060),PA2370,11358,2,4
VFG041043(gb|NP_251061),PA2371,11515,2,4
VFG051656(gb|WP_012614145.1),PA2373,8412,2,4
VFG044084(gb|NP_251073),PA2383,10810,2,1
VFG044085(gb|NP_251074),PA2384,10723,2,1
VFG015950(gb|NP_251075),PA2385,11485,2,4
VFG000159(gb|NP_251076),PA2386,6612,2,4
VFG044086(gb|NP_251077),PA2387,6112,2,1
VFG044087(gb|NP_251078),PA2388,6365,2,1
VFG015974(gb|WP_041025344),PA2392,4890,2,4
VFG015985(gb|WP_003103610),PA2393,5484,2,4
VFG015996(gb|WP_003122677),PA2394,9072,2,4
VFG020061(gb|WP_012614136),PA2395,10768,2,4
VFG016017(gb|WP_003148547),PA2396,4739,2,4
VFG000160(gb|NP_251087),PA2397,4031,2,2
VFG000163(gb|NP_251088),PA2398,4030,2,2
VFG000161(gb|NP_251089),PA2399,4037,2,2
VFG016038(gb|NP_251090),PA2400,4051,2,2
VFG016043(gb|WP_011666644),PA2402,9004,2,2
VFG044088(gb|NP_251102),PA2412,10708,2,1
VFG016048(gb|WP_003089638),PA2413,11494,2,4
VFG016058(gb|NP_251114),PA2424,11578,2,4
VFG020076(gb|WP_003116905),PA2425,10781,2,4
VFG016077(gb|WP_003113068),PA2426,10750,2,3
VFG016087(gb|NP_251117),PA2427,6039,2,3
VFG015080(gb|NP_251276),PA2586,10834,2,4
VFG051484(gb|NP_251374.1),PA2684,11570,2,4
VFG041046(gb|NP_251392),PA2702,10749,2,4
VFG043480(gb|NP_251450),PA2760,11391,2,1
VFG051829(gb|WP_003138819.1),PA2774,10735,2,2
VFG013950(gb|WP_003091119),PA2960,10800,2,3
VFG000174(gb|NP_251785),PA3095,10789,2,1
VFG000175(gb|NP_251786),PA3096,11553,2,1
VFG000176(gb|NP_251787),PA3097,11183,2,1
VFG000177(gb|NP_251788),PA3098,10820,2,1
VFG000178(gb|NP_251789),PA3099,10781,2,1
VFG000179(gb|NP_251790),PA3100,10808,2,1
VFG000180(gb|NP_251791),PA3101,10807,2,1
VFG000181(gb|NP_251792),PA3102,11561,2,1
VFG000182(gb|NP_251793),PA3103,11577,2,1
VFG000183(gb|NP_251794),PA3104,10843,2,1
VFG000184(gb|NP_251795),PA3105,8847,2,1
VFG001230(gb|NP_251805),PA3115,11519,2,3
VFG019790(gb|WP_003122257),PA3141,11315,2,4
VFG014116(gb|NP_251832),PA3142,1285,2,1
VFG014115(gb|YP_008719764),PA3143,1454,2,1
VFG014113(gb|NP_251835),PA3145,1430,2,1
VFG014112(gb|NP_251836),PA3146,1329,2,1
VFG014111(gb|NP_251837),PA3147,1431,2,1
VFG014110(gb|NP_251838),PA3148,1428,2,1
VFG014109(gb|NP_251839),PA3149,1428,2,1
VFG014108(gb|NP_251840),PA3150,1427,2,1
VFG014107(gb|NP_251841),PA3151,1324,2,1
VFG014106(gb|NP_251842),PA3152,1326,2,1
VFG014105(gb|NP_251843),PA3153,1429,2,1
VFG000138(gb|NP_251844),PA3154,1431,2,1
VFG014103(gb|NP_251845),PA3155,1429,2,1
VFG014102(gb|NP_251846),PA3156,1324,2,1
VFG014101(gb|NP_251847),PA3157,1429,2,1
VFG014100(gb|NP_251848),PA3158,1328,2,1
VFG014099(gb|NP_251849),PA3159,1429,2,1
VFG000137(gb|NP_251850),PA3160,1432,2,1
VFG015852(gb|NP_252009),PA3319,11579,2,4
VFG043017(gb|NP_252038),PA3348,10854,2,1
VFG043018(gb|NP_252039),PA3349,10893,2,1
VFG014644(gb|WP_003091731),PA3350,10842,2,3
VFG019869(gb|WP_003098742),PA3351,10797,2,4
VFG014668(gb|NP_252042),PA3352,10811,2,3
VFG044089(gb|NP_252094),PA3404,11525,2,1
VFG044090(gb|NP_252095),PA3405,11525,2,1
VFG044091(gb|NP_252096),PA3406,11520,2,1
VFG044092(gb|NP_252097),PA3407,10784,2,1
VFG044093(gb|NP_252098),PA3408,11526,2,1
VFG044094(gb|NP_252099),PA3409,10884,2,1
VFG044095(gb|NP_252100),PA3410,10755,2,1
VFG019935(gb|WP_003111059),PA3476,10691,2,3
VFG015049(gb|WP_003119559),PA3477,10724,2,4
VFG000155(gb|NP_252168),PA3478,11505,2,4
VFG019930(gb|WP_003092013),PA3479,10828,2,4
VFG041047(gb|NP_252174),PA3484,11579,2,4
VFG015859(gb|NP_252177),PA3487,3757,2,2
VFG014735(gb|WP_003138116),PA3526,10925,2,3
VFG000122(gb|NP_252230),PA3540,11579,2,4
VFG000123(gb|NP_252231),PA3541,11579,2,4
VFG000124(gb|NP_252232),PA3542,11579,2,4
VFG000125(gb|NP_252233),PA3543,11579,2,4
VFG000126(gb|NP_252234),PA3544,11579,2,4
VFG000127(gb|NP_252235),PA3545,11579,2,4
VFG000128(gb|NP_252236),PA3546,11579,2,4
VFG000129(gb|NP_252237),PA3547,11579,2,4
VFG000130(gb|NP_252238),PA3548,11579,2,4
VFG000131(gb|NP_252239),PA3549,11578,2,4
VFG000132(gb|NP_252240),PA3550,10836,2,4
VFG000133(gb|NP_252241),PA3551,11579,2,7
VFG043648(gb|NP_252312),PA3622,11459,2,1
VFG015000(gb|NP_252339),PA3649,11579,2,4
VFG000146(gb|NP_252413),PA3724,11575,2,4
VFG013823(gb|WP_003092804),PA3805,10850,2,3
VFG000147(gb|NP_252530),PA3841,8635,2,2
VFG042140(gb|NP_252531),PA3842,10646,2,1
VFG019923(gb|WP_003093256),PA4033,10772,2,3
VFG042698(gb|NP_252770),PA4081,11453,2,1
VFG042699(gb|NP_252771),PA4082,11431,2,1
VFG042700(gb|NP_252772),PA4083,10724,2,1
VFG042701(gb|NP_252773),PA4084,11418,2,1
VFG042702(gb|NP_252774),PA4085,10695,2,1
VFG042703(gb|NP_252775),PA4086,10664,2,1
VFG015846(gb|NP_252864),PA4175,11548,2,4
VFG020036(gb|WP_003093617),PA4209,11506,2,3
VFG015503(gb|NP_252899),PA4210,10826,2,3
VFG015506(gb|NP_252900),PA4211,10133,2,4
VFG015509(gb|NP_252901),PA4212,10857,2,6
VFG015512(gb|NP_252902),PA4213,10109,2,6
VFG015515(gb|NP_252903),PA4214,11486,2,6
VFG020027(gb|WP_003117652),PA4215,10120,2,5
VFG015521(gb|NP_252906),PA4216,9718,2,1
VFG000173(gb|NP_252907),PA4217,11551,2,4
VFG044096(gb|NP_252908),PA4218,11552,2,1
VFG044097(gb|NP_252909),PA4219,11554,2,1
VFG044098(gb|NP_252910),PA4220,10671,2,1
VFG000164(gb|NP_252911),PA4221,11560,2,4
VFG001266(gb|NP_252912),PA4222,11558,2,4
VFG001267(gb|NP_252913),PA4223,11546,2,4
VFG001268(gb|NP_252914),PA4224,11516,2,4
VFG000165(gb|NP_252915),PA4225,11570,2,4
VFG000166(gb|NP_252916),PA4226,11577,2,4
VFG020091(gb|WP_003106955),PA4227,10874,2,3
VFG000168(gb|NP_252918),PA4228,11579,2,4
VFG000169(gb|NP_252919),PA4229,10849,2,3
VFG000170(gb|NP_252920),PA4230,10785,2,4
VFG000171(gb|NP_252921),PA4231,11575,2,3
VFG042740(gb|NP_252983),PA4293,11543,2,1
VFG042741(gb|NP_252984),PA4294,10843,2,1
VFG042742(gb|NP_252985),PA4295,10806,2,1
VFG042743(gb|NP_252986),PA4296,10871,2,1
VFG042744(gb|NP_252987),PA4297,11577,2,1
VFG042745(gb|NP_252988),PA4298,10785,2,1
VFG042746(gb|NP_252989),PA4299,10834,2,1
VFG042747(gb|NP_252990),PA4300,10897,2,1
VFG042748(gb|NP_252991),PA4301,10848,2,1
VFG042749(gb|NP_252992),PA4302,11576,2,1
VFG042750(gb|NP_252993),PA4303,11576,2,1
VFG042751(gb|NP_252994),PA4304,11576,2,1
VFG042752(gb|NP_252995),PA4305,10859,2,1
VFG042753(gb|NP_252996),PA4306,10400,2,1
VFG014986(gb|WP_003094320),PA4446,11579,2,4
VFG042736(gb|NP_253152),PA4462,11579,2,1
VFG000111(gb|NP_253215),PA4525,2585,2,1
VFG019728(gb|WP_003122078),PA4526,6198,2,4
VFG000114(gb|NP_253218),PA4528,10879,2,4
VFG043810(gb|NP_253231),PA4541,11422,2,1
VFG001213(gb|NP_253236),PA4546,11577,2,3
VFG001214(gb|NP_253237),PA4547,11576,2,6
VFG019756(gb|WP_003161431),PA4549,8809,2,2
VFG001216(gb|NP_253240),PA4550,8809,2,1
VFG019747(gb|WP_003119423),PA4551,8815,2,3
VFG001208(gb|NP_253242),PA4552,7972,2,2
VFG001209(gb|NP_253243),PA4553,8688,2,2
VFG001210(gb|NP_253244),PA4554,9298,2,2
VFG001211(gb|NP_253245),PA4555,8797,2,2
VFG001212(gb|NP_253246),PA4556,8775,2,3
VFG044030(gb|NP_253337),PA4648,10833,2,1
VFG044445(gb|NP_253338),PA4649,10828,2,1
VFG044446(gb|NP_253339),PA4650,10833,2,1
VFG044447(gb|NP_253340),PA4651,10858,2,1
VFG044448(gb|NP_253341),PA4652,11570,2,1
VFG044449(gb|NP_253342),PA4653,10902,2,1
VFG044099(gb|NP_253393),PA4705,10874,2,1
VFG044100(gb|NP_253394),PA4706,10868,2,1
VFG044101(gb|NP_253395),PA4707,11086,2,1
VFG044102(gb|NP_253396),PA4708,10884,2,1
VFG044103(gb|NP_253397),PA4709,11579,2,1
VFG044104(gb|NP_253398),PA4710,11579,2,1
VFG014681(gb|NP_253640),PA4953,11552,2,4
VFG014694(gb|NP_253641),PA4954,10869,2,2
VFG042738(gb|NP_253646),PA4959,11579,2,1
VFG000141(gb|NP_253675),PA4988,11578,2,1
VFG000140(gb|NP_253696),PA5009,10864,2,1
VFG000139(gb|NP_253697),PA5010,11576,2,1
VFG000142(gb|NP_253698),PA5011,11576,2,1
VFG000143(gb|NP_253699),PA5012,11576,2,1
VFG001218(gb|NP_253727),PA5040,9460,2,4
VFG001219(gb|NP_253728),PA5041,8854,2,3
VFG001220(gb|NP_253729),PA5042,8861,2,3
VFG001221(gb|NP_253730),PA5043,8859,2,4
VFG001222(gb|NP_253731),PA5044,11575,2,4
VFG051661(gb|WP_012614635.1),PA5089,11562,2,3
VFG042297(gb|NP_253799),PA5112,11574,2,1
VFG019926(gb|WP_003099228),PA5253,9504,2,3
VFG000118(gb|NP_253942),PA5255,10831,2,4
VFG014965(gb|WP_003096397),PA5261,10862,2,3
VFG000120(gb|NP_253949),PA5262,11570,2,3
VFG051496(gb|WP_003083317.1),PA5267,9975,2,4
VFG014893(gb|NP_254009),PA5322,11579,2,4
VFG042739(gb|NP_254019),PA5332,10869,2,1
VFG000116(gb|NP_254170),PA5483,11579,2,1
VFG000433(gb|NP_490508),PSLT016,1,1,1
VFG000434(gb|NP_490509),PSLT017,1,1,1
VFG008258(gb|NP_216932),Rv2416c,1,1,1
VFG007849(gb|NP_217449),Rv2933,1,1,1
VFG031348(gb|NP_217787),Rv3270,280,2,1
VFG018113(gb|YP_498852),SAOUHSC_00258,1,1,1
VFG004595(gb|YP_499118),SAOUHSC_00545,1,1,1
VFG004504(gb|YP_499969),SAOUHSC_01447,8,2,1
VFG004855(gb|YP_500454),SAOUHSC_01955,1,1,1
VFG004614(gb|YP_501261),SAOUHSC_02802,2,1,1
VFG004622(gb|YP_501262),SAOUHSC_02803,1,1,1
VFG013004(gb|NP_706438),SF0495,1,1,1
VFG013010(gb|NP_706439),SF0496,1,1,1
VFG012986(gb|NP_706449),SF0508,1,1,1
VFG000618(gb|NP_709457),SF3718,1,1,1
VFG042608(gb|NP_459033),STM0028,1,1,1
VFG041090(gb|NP_459263),STM0266,1,1,1
VFG041091(gb|NP_459264),STM0267,1,1,1
VFG042313(gb|NP_459562),STM0570,1,1,1
VFG000478(gb|NP_459678),STM0693,1,1,1
VFG000465(gb|NP_460064),STM1091,1,1,1
VFG002306(gb|NP_461449),STM2514,1,1,1
VFG000538(gb|NP_461797),STM2876,1,1,1
VFG000543(gb|NP_461803),STM2882,1,1,1
VFG000546(gb|NP_461806),STM2885,1,1,1
VFG000452(gb|NP_462537),STM3636,1,1,1
VFG000453(gb|NP_462538),STM3637,1,1,1
VFG000454(gb|NP_462539),STM3638,1,1,1
VFG000574(gb|NP_462662),STM3763,1,1,1
VFG004355(gb|NP_463449),STM4593,1,1,1
